year,decade,period_label,period_order,is_reform_year,year_label
2010,2010-2014,Dastlabki davr,1,0,2010
2011,2010-2014,Dastlabki davr,2,0,2011
2012,2010-2014,Dastlabki davr,3,0,2012
2013,2010-2014,Dastlabki davr,4,0,2013
2014,2010-2014,Dastlabki davr,5,0,2014
2015,2015-2019,O'tish davri,6,0,2015
2016,2015-2019,O'tish davri,7,0,2016
2017,2015-2019,O'tish davri,8,1,2017
2018,2015-2019,O'tish davri,9,1,2018
2019,2015-2019,O'tish davri,10,0,2019
2020,2020-2024,Zamonaviy davr,11,1,2020
2021,2020-2024,Zamonaviy davr,12,0,2021
2022,2020-2024,Zamonaviy davr,13,0,2022
2023,2020-2024,Zamonaviy davr,14,0,2023
2024,2020-2024,Zamonaviy davr,15,0,2024
