region,year,population_permanent,employed_thousand,unemployed_thousand,econ_active_thousand,births_total,fact_deaths,active_enterprises_count
O'zbekiston,2010,28001.4,11628.4,658.2,12286.6,634810,138411,200951
O'zbekiston,2011,29123.4,11919.1,622.4,12541.5,622835,143253,214084
O'zbekiston,2012,29555.4,12223.8,626.3,12850.1,625106,145988,228736
O'zbekiston,2013,29993.5,12523.3,639.7,13163.0,679519,145672,229177
O'zbekiston,2014,30492.8,12818.4,687.0,13505.4,718036,149761,241201
O'zbekiston,2015,31022.0,13098.0,701.0,13799.0,742000,151200,256400
O'zbekiston,2016,31576.0,13389.0,718.0,14107.0,768000,153100,274800
O'zbekiston,2017,32120.0,13698.0,734.0,14432.0,798000,155400,296100
O'zbekiston,2018,32956.0,14012.0,748.0,14760.0,821000,156800,318700
O'zbekiston,2019,33981.0,14341.0,761.0,15102.0,843000,158200,342100
O'zbekiston,2020,34915.0,14178.0,812.0,14990.0,856000,189400,356800
O'zbekiston,2021,35300.0,14512.0,778.0,15290.0,878000,162100,389200
O'zbekiston,2022,36201.0,14867.0,752.0,15619.0,901000,154300,421600
O'zbekiston,2023,37054.0,15189.0,728.0,15917.0,918000,148700,458900
O'zbekiston,2024,37890.0,15498.0,698.0,16196.0,934000,142800,496200
Andijon,2010,2821.4,1089.2,61.2,1150.4,78410,17241,18092
Andijon,2011,2934.2,1114.8,58.1,1172.9,76832,17825,19308
Andijon,2012,2978.4,1143.8,58.6,1202.4,77011,18149,20674
Andijon,2013,3023.5,1173.3,60.7,1234.0,83952,18067,20718
Andijon,2014,3071.8,1201.8,64.7,1266.5,88636,18976,21708
Andijon,2015,3124.0,1228.0,66.0,1294.0,91500,19200,23076
Andijon,2016,3178.0,1255.0,67.8,1322.8,94700,19400,24732
Andijon,2017,3234.0,1283.0,69.4,1352.4,98300,19650,26649
Andijon,2018,3312.0,1312.0,70.8,1382.8,101000,19800,28687
Andijon,2019,3421.0,1342.0,72.1,1414.1,104000,20100,30813
Andijon,2020,3511.0,1327.0,77.2,1404.2,106000,23400,32112
Andijon,2021,3548.0,1358.0,74.0,1432.0,109000,20400,35023
Andijon,2022,3641.0,1389.0,71.5,1460.5,112000,19200,37926
Andijon,2023,3728.0,1419.0,69.2,1488.2,114000,18500,41201
Andijon,2024,3818.0,1448.0,66.3,1514.3,116500,17700,44658
Buxoro,2010,1612.4,589.2,33.2,622.4,38410,8441,11092
Buxoro,2011,1676.2,602.8,31.4,634.2,37630,8725,11808
Buxoro,2012,1701.4,618.8,31.3,650.1,37911,8898,12674
Buxoro,2013,1726.5,634.3,32.7,667.0,41152,8867,12718
Buxoro,2014,1751.8,649.8,34.7,684.5,43436,9176,13408
Buxoro,2015,1779.0,664.0,35.0,699.0,44900,9320,14276
Buxoro,2016,1808.0,679.0,35.8,714.8,46500,9440,15332
Buxoro,2017,1838.0,695.0,36.4,731.4,48200,9565,16509
Buxoro,2018,1882.0,712.0,37.1,749.1,49600,9680,17787
Buxoro,2019,1941.0,729.0,37.8,766.8,51000,9810,19113
Buxoro,2020,1991.0,720.0,40.2,760.2,51900,11440,19912
Buxoro,2021,2012.0,737.0,38.7,775.7,53200,9910,21713
Buxoro,2022,2062.0,754.0,37.4,791.4,54500,9320,23516
Buxoro,2023,2112.0,771.0,36.2,807.2,55600,9050,25501
Buxoro,2024,2164.0,788.0,34.7,822.7,56700,8600,27658

Jizzax,2010,1098.4,389.2,21.2,410.4,28410,6241,6092
Jizzax,2011,1141.2,398.8,20.1,418.9,27830,6425,6508
Jizzax,2012,1158.4,408.8,20.3,429.1,28011,6598,6974
Jizzax,2013,1176.5,418.3,20.7,439.0,30452,6567,7018
Jizzax,2014,1194.8,427.8,22.7,450.5,32236,6876,7508
Jizzax,2015,1214.0,437.0,23.0,460.0,33400,7020,8076
Jizzax,2016,1235.0,447.0,23.8,470.8,34600,7100,8682
Jizzax,2017,1256.0,457.0,24.4,481.4,35900,7165,9349
Jizzax,2018,1286.0,468.0,25.1,493.1,37000,7180,10067
Jizzax,2019,1328.0,479.0,25.8,504.8,38000,7210,10813
Jizzax,2020,1362.0,473.0,27.2,500.2,38700,8440,11112
Jizzax,2021,1376.0,484.0,26.0,510.0,39700,7410,12123
Jizzax,2022,1411.0,495.0,25.5,520.5,40700,6920,13126
Jizzax,2023,1445.0,506.0,24.2,530.2,41500,6750,14201
Jizzax,2024,1479.0,517.0,23.3,540.3,42300,6500,15458
Qashqadaryo,2010,2721.4,989.2,55.2,1044.4,68410,15041,15092
Qashqadaryo,2011,2828.2,1012.8,52.4,1065.2,67030,15625,16108
Qashqadaryo,2012,2871.4,1038.8,52.3,1091.1,67311,15998,17274
