region,year,construction,agriculture_output,retail_trade,wholesale_trade,foreign_trade_turnover
O'zbekiston,2010,8245800.0,30856700.0,21872800.0,11774100.0,268303300.0
O'zbekiston,2011,9504800.0,45285900.0,28539000.0,15476700.0,318662700.0
O'zbekiston,2012,11753900.0,55750000.0,36946400.0,18018800.0,319269500.0
O'zbekiston,2013,15219300.0,66435300.0,46863000.0,22001677.0,341671200.0
O'zbekiston,2014,20060400.0,81794300.0,58136600.0,25512624.0,332733500.0
O'zbekiston,2015,26100000.0,95000000.0,72000000.0,31200000.0,368000000.0
O'zbekiston,2016,32400000.0,108000000.0,88000000.0,38100000.0,412000000.0
O'zbekiston,2017,41200000.0,124000000.0,108000000.0,47800000.0,489000000.0
O'zbekiston,2018,52100000.0,141000000.0,131000000.0,61200000.0,612000000.0
O'zbekiston,2019,61800000.0,156000000.0,151000000.0,74600000.0,698000000.0
O'zbekiston,2020,59200000.0,162000000.0,148000000.0,78900000.0,642000000.0
O'zbekiston,2021,74800000.0,181000000.0,182000000.0,98400000.0,812000000.0
O'zbekiston,2022,89600000.0,204000000.0,218000000.0,124100000.0,981000000.0
O'zbekiston,2023,112400000.0,228000000.0,261000000.0,158700000.0,1182000000.0
O'zbekiston,2024,138200000.0,255000000.0,312000000.0,198400000.0,1402000000.0
Andijon,2010,624800.0,4821200.0,2187300.0,892100.0,18420000.0
Andijon,2011,812400.0,6234100.0,2853900.0,1162400.0,23980000.0
Andijon,2012,1021000.0,7689000.0,3694600.0,1482100.0,29870000.0
Andijon,2013,1324000.0,9187400.0,4686300.0,1872300.0,37820000.0
Andijon,2014,1742000.0,11298000.0,5813700.0,2298400.0,46210000.0
Andijon,2015,2268000.0,13128000.0,7200000.0,2821000.0,52340000.0
Andijon,2016,2812000.0,14963000.0,8800000.0,3412000.0,59870000.0
Andijon,2017,3564000.0,17248000.0,10800000.0,4289000.0,71230000.0
Andijon,2018,4512000.0,19836000.0,13100000.0,5412000.0,87640000.0
Andijon,2019,5234000.0,22812000.0,15100000.0,6289000.0,98420000.0
Andijon,2020,5012000.0,24693000.0,14800000.0,6712000.0,91230000.0
Andijon,2021,6321000.0,27648000.0,18200000.0,8234000.0,115600000.0
Andijon,2022,7568000.0,31124000.0,21800000.0,10312000.0,138900000.0
Andijon,2023,9512000.0,34812000.0,26100000.0,13289000.0,167200000.0
Andijon,2024,11698000.0,38947000.0,31200000.0,16712000.0,198400000.0
Buxoro,2010,512400.0,2834100.0,1423800.0,712400.0,14230000.0
Buxoro,2011,668100.0,3698200.0,1853900.0,927800.0,18560000.0
Buxoro,2012,820900.0,4551300.0,2398800.0,1182400.0,23120000.0
Buxoro,2013,1065000.0,5601700.0,3041700.0,1498200.0,29340000.0
Buxoro,2014,1403000.0,6891200.0,3778400.0,1842300.0,35890000.0
Buxoro,2015,1826000.0,8018400.0,4681200.0,2264000.0,40560000.0
Buxoro,2016,2268000.0,9142800.0,5721300.0,2748000.0,46230000.0
Buxoro,2017,2873000.0,10538300.0,7011800.0,3451000.0,55480000.0
Buxoro,2018,3634000.0,12121800.0,8512100.0,4352000.0,68120000.0
Buxoro,2019,4212000.0,13940700.0,9812400.0,5048000.0,76890000.0
Buxoro,2020,4034000.0,15131400.0,9612100.0,5384000.0,70860000.0
Buxoro,2021,5093000.0,16926800.0,11813700.0,6598000.0,89780000.0
Buxoro,2022,6112000.0,19076000.0,14153800.0,8243000.0,107680000.0
Buxoro,2023,7689000.0,21367400.0,16964600.0,10514000.0,129870000.0
Buxoro,2024,9456000.0,23931300.0,20273300.0,13214000.0,154230000.0

Jizzax,2010,298400.0,2412100.0,876400.0,412300.0,8234000.0
Jizzax,2011,388900.0,3148300.0,1142100.0,537200.0,10740000.0
Jizzax,2012,477700.0,3874200.0,1478100.0,685100.0,13230000.0
Jizzax,2013,619700.0,4768700.0,1873000.0,866900.0,16780000.0
Jizzax,2014,815900.0,5861900.0,2325600.0,1065700.0,20540000.0
Jizzax,2015,1062000.0,6816100.0,2881200.0,1309000.0,23230000.0
Jizzax,2016,1318000.0,7773500.0,3521200.0,1587000.0,26520000.0
Jizzax,2017,1670000.0,8960600.0,4319800.0,1993000.0,31610000.0
Jizzax,2018,2114000.0,10311200.0,5245200.0,2513000.0,38840000.0
Jizzax,2019,2451000.0,11857900.0,6043900.0,2916000.0,43870000.0
Jizzax,2020,2348000.0,12864700.0,5921600.0,3112000.0,40420000.0
Jizzax,2021,2965000.0,14386000.0,7283700.0,3812000.0,51120000.0
