region,year,income_pc,grp,inv_fixed_capital_pc
O'zbekiston,2010,2.1928,88102400.0,2.1928
O'zbekiston,2011,2.9289,115627800.0,2.9289
O'zbekiston,2012,3.5018,142333000.0,3.5018
O'zbekiston,2013,4.1751,173201500.0,4.1751
O'zbekiston,2014,4.7596,210998300.0,4.7596
O'zbekiston,2015,6.1200,259000000.0,6.1200
O'zbekiston,2016,7.4800,312000000.0,7.4800
O'zbekiston,2017,9.2100,389000000.0,9.2100
O'zbekiston,2018,12.3400,468000000.0,12.3400
O'zbekiston,2019,14.8700,562000000.0,14.8700
O'zbekiston,2020,16.4700,623000000.0,16.4700
O'zbekiston,2021,20.1200,748000000.0,20.1200
O'zbekiston,2022,25.6800,921000000.0,25.6800
O'zbekiston,2023,31.9400,1124000000.0,31.9400
O'zbekiston,2024,38.6000,1380000000.0,38.6000
Andijon,2010,1.8500,5820000.0,1.4200
Andijon,2011,2.4100,7430000.0,1.8900
Andijon,2012,2.9800,9120000.0,2.2300
Andijon,2013,3.5200,11200000.0,2.7100
Andijon,2014,3.9800,13500000.0,3.1200
Andijon,2015,4.9200,16800000.0,3.8900
Andijon,2016,5.8700,20100000.0,4.6700
Andijon,2017,7.2100,24800000.0,5.8900
Andijon,2018,8.9400,30200000.0,7.2100
Andijon,2019,10.1200,36100000.0,8.4300
Andijon,2020,11.2300,40200000.0,9.3100
Andijon,2021,13.8900,49800000.0,11.7200
Andijon,2022,17.2100,61200000.0,14.5600
Andijon,2023,20.9800,74800000.0,17.8900
Andijon,2024,24.5600,89100000.0,21.2300
Buxoro,2010,2.3100,6120000.0,2.1800
Buxoro,2011,3.0400,7980000.0,2.8600
Buxoro,2012,3.7200,9810000.0,3.4900
Buxoro,2013,4.4600,12100000.0,4.1800
Buxoro,2014,5.1200,14800000.0,4.8700
Buxoro,2015,6.3400,18400000.0,6.0100
Buxoro,2016,7.6800,22100000.0,7.2800
Buxoro,2017,9.4200,27300000.0,8.9600
Buxoro,2018,11.8900,33200000.0,11.2400
Buxoro,2019,13.7600,39800000.0,13.0200
Buxoro,2020,15.2100,44200000.0,14.4300
Buxoro,2021,18.9400,54600000.0,17.9600
Buxoro,2022,23.4800,67200000.0,22.2700
Buxoro,2023,29.1200,82100000.0,27.6300
Buxoro,2024,35.2100,98400000.0,33.4500
Jizzax,2010,1.9800,3820000.0,1.7600
Jizzax,2011,2.6100,4980000.0,2.3200
Jizzax,2012,3.1800,6120000.0,2.8400
Jizzax,2013,3.8200,7540000.0,3.4100
Jizzax,2014,4.3900,9180000.0,3.9200
Jizzax,2015,5.4200,11400000.0,4.8400
Jizzax,2016,6.5600,13700000.0,5.8700
Jizzax,2017,8.0400,16900000.0,7.2100
Jizzax,2018,10.1200,20600000.0,9.0800
Jizzax,2019,11.8900,24700000.0,10.6400
Jizzax,2020,13.1200,27400000.0,11.7400
Jizzax,2021,16.2800,33900000.0,14.5800
Jizzax,2022,20.1900,41700000.0,18.0800
Jizzax,2023,25.0400,51000000.0,22.4200
Jizzax,2024,29.4100,60800000.0,26.3600
Qashqadaryo,2010,2.1200,7820000.0,1.9900
Qashqadaryo,2011,2.7900,10200000.0,2.6300
Qashqadaryo,2012,3.4100,12500000.0,3.2100
Qashqadaryo,2013,4.0800,15400000.0,3.8400
Qashqadaryo,2014,4.6900,18700000.0,4.4200
Qashqadaryo,2015,5.7800,23200000.0,5.4600
Qashqadaryo,2016,6.9800,27900000.0,6.6200
Qashqadaryo,2017,8.5800,34400000.0,8.1200
Qashqadaryo,2018,10.8100,41800000.0,10.2400
Qashqadaryo,2019,12.5400,50000000.0,11.8800
Qashqadaryo,2020,13.8200,55500000.0,13.1100
Qashqadaryo,2021,17.1400,68700000.0,16.2600
Qashqadaryo,2022,21.2600,84600000.0,20.1600
Qashqadaryo,2023,26.3800,103400000.0,25.0200
Qashqadaryo,2024,30.8900,122800000.0,29.3500
Navoiy,2010,3.1200,8640000.0,4.2100
Navoiy,2011,4.1800,11300000.0,5.6200
Navoiy,2012,5.0200,13900000.0,6.7400
Navoiy,2013,6.0100,17100000.0,8.0700
Navoiy,2014,6.8900,20800000.0,9.2400
Navoiy,2015,8.5200,25800000.0,11.4100
Navoiy,2016,10.2800,31000000.0,13.7900
Navoiy,2017,12.6400,38200000.0,16.9400
Navoiy,2018,15.9200,46400000.0,21.3600
Navoiy,2019,18.4800,55600000.0,24.7800
Navoiy,2020,20.4100,61700000.0,27.3700
Navoiy,2021,25.2800,76300000.0,33.8900
Navoiy,2022,31.3400,93900000.0,42.0200
Navoiy,2023,38.9200,114700000.0,52.2100
Navoiy,2024,45.6700,136500000.0,61.2800
Namangan,2010,1.7200,6420000.0,1.3400
Namangan,2011,2.2400,8380000.0,1.7500
Namangan,2012,2.7600,10300000.0,2.1600
Namangan,2013,3.2900,12700000.0,2.5700
Namangan,2014,3.7300,15400000.0,2.9200
Namangan,2015,4.6100,19100000.0,3.6000
Namangan,2016,5.5200,22900000.0,4.3200
Namangan,2017,6.7900,28200000.0,5.3100
Namangan,2018,8.4200,34300000.0,6.5800
Namangan,2019,9.5600,41100000.0,7.4800
Namangan,2020,10.5900,45700000.0,8.2800
Namangan,2021,13.1200,56500000.0,10.2600
Namangan,2022,16.2800,69500000.0,12.7300
Namangan,2023,19.8500,84900000.0,15.5300
Namangan,2024,23.2400,101200000.0,18.1800
Samarqand,2010,1.9100,9120000.0,1.6800
Samarqand,2011,2.5100,11900000.0,2.2100
Samarqand,2012,3.0700,14600000.0,2.7100
Samarqand,2013,3.6700,18000000.0,3.2400
Samarqand,2014,4.2100,21900000.0,3.7100
Samarqand,2015,5.2000,27100000.0,4.5800
Samarqand,2016,6.2800,32500000.0,5.5400
Samarqand,2017,7.7200,40100000.0,6.8100
Samarqand,2018,9.7200,48700000.0,8.5700
Samarqand,2019,11.2800,58300000.0,9.9400
Samarqand,2020,12.4700,64800000.0,10.9900
Samarqand,2021,15.4600,80100000.0,13.6200
Samarqand,2022,19.1600,98600000.0,16.8900
Samarqand,2023,23.7800,120500000.0,20.9500
Samarqand,2024,27.8900,143600000.0,24.5800
Sirdaryo,2010,2.0400,3180000.0,2.1200
Sirdaryo,2011,2.6800,4150000.0,2.7800
Sirdaryo,2012,3.2900,5110000.0,3.4200
Sirdaryo,2013,3.9400,6290000.0,4.1000
Sirdaryo,2014,4.5200,7660000.0,4.6900
Sirdaryo,2015,5.5800,9510000.0,5.7900
Sirdaryo,2016,6.7600,11400000.0,7.0200
Sirdaryo,2017,8.3100,14100000.0,8.6300
Sirdaryo,2018,10.4800,17100000.0,10.8700
Sirdaryo,2019,12.1600,20500000.0,12.6200
Sirdaryo,2020,13.4200,22800000.0,13.9300
Sirdaryo,2021,16.6400,28200000.0,17.2600
Sirdaryo,2022,20.6400,34700000.0,21.4200
Sirdaryo,2023,25.6200,42400000.0,26.6000
Sirdaryo,2024,30.0400,50500000.0,31.2000
Surxondaryo,2010,1.5800,5640000.0,1.3200
Surxondaryo,2011,2.0700,7360000.0,1.7300
Surxondaryo,2012,2.5400,9050000.0,2.1300
Surxondaryo,2013,3.0400,11100000.0,2.5400
Surxondaryo,2014,3.4700,13500000.0,2.9000
Surxondaryo,2015,4.2900,16800000.0,3.5900
Surxondaryo,2016,5.1800,20100000.0,4.3300
Surxondaryo,2017,6.3700,24800000.0,5.3300
Surxondaryo,2018,8.0200,30100000.0,6.7100
Surxondaryo,2019,9.3100,36100000.0,7.7900
Surxondaryo,2020,10.2900,40200000.0,8.6100
Surxondaryo,2021,12.7600,49700000.0,10.6700
Surxondaryo,2022,15.8200,61200000.0,13.2300
Surxondaryo,2023,19.6200,74800000.0,16.4100
Surxondaryo,2024,22.9800,89200000.0,19.2200
Toshkent vil.,2010,2.5800,12400000.0,2.8100
Toshkent vil.,2011,3.3900,16200000.0,3.6800
Toshkent vil.,2012,4.1600,19900000.0,4.5200
Toshkent vil.,2013,4.9700,24500000.0,5.4000
Toshkent vil.,2014,5.7100,29800000.0,6.2100
Toshkent vil.,2015,7.0500,37000000.0,7.6700
Toshkent vil.,2016,8.5200,44400000.0,9.2700
Toshkent vil.,2017,10.4800,54700000.0,11.4000
Toshkent vil.,2018,13.2000,66500000.0,14.3700
Toshkent vil.,2019,15.3200,79600000.0,16.6600
Toshkent vil.,2020,16.9200,88500000.0,18.4000
Toshkent vil.,2021,20.9800,109400000.0,22.8100
Toshkent vil.,2022,26.0200,134700000.0,28.2800
Toshkent vil.,2023,32.3100,164600000.0,35.1400
Toshkent vil.,2024,37.8600,196100000.0,41.1800
Toshkent sh.,2010,4.2100,28400000.0,5.6200
Toshkent sh.,2011,5.6200,37100000.0,7.5100
Toshkent sh.,2012,6.8900,45600000.0,9.2200
Toshkent sh.,2013,8.2400,56100000.0,11.0200
Toshkent sh.,2014,9.8700,68400000.0,13.2100
Toshkent sh.,2015,12.4200,85800000.0,16.6200
Toshkent sh.,2016,14.9800,103100000.0,20.0600
Toshkent sh.,2017,18.4300,127100000.0,24.6800
Toshkent sh.,2018,18.9400,154000000.0,25.3600
Toshkent sh.,2019,22.8700,185000000.0,30.6300
Toshkent sh.,2020,26.3349,111465300.0,26.3349
Toshkent sh.,2021,31.5020,144477100.0,31.5020
Toshkent sh.,2022,38.1436,178973300.0,38.1436
Toshkent sh.,2023,47.1834,222926100.0,47.1834
Toshkent sh.,2024,60.5944,302878500.0,60.5944
Farg'ona,2010,2.0100,10200000.0,1.7800
Farg'ona,2011,2.6300,13300000.0,2.3300
Farg'ona,2012,3.2300,16400000.0,2.8600
Farg'ona,2013,3.8600,20200000.0,3.4200
Farg'ona,2014,4.4200,24500000.0,3.9200
Farg'ona,2015,5.4600,30400000.0,4.8400
Farg'ona,2016,6.5900,36500000.0,5.8400
Farg'ona,2017,8.1100,45000000.0,7.1900
Farg'ona,2018,10.2200,54700000.0,9.0600
Farg'ona,2019,11.8800,65500000.0,10.5300
Farg'ona,2020,13.1300,72900000.0,11.6400
Farg'ona,2021,16.2600,90100000.0,14.4100
Farg'ona,2022,20.1900,110900000.0,17.8900
Farg'ona,2023,25.0600,135400000.0,22.2100
Farg'ona,2024,29.3200,161400000.0,26.0000
Xorazm,2010,1.6200,4280000.0,1.3800
Xorazm,2011,2.1200,5590000.0,1.8100
Xorazm,2012,2.6000,6870000.0,2.2200
Xorazm,2013,3.1100,8460000.0,2.6600
Xorazm,2014,3.5500,10300000.0,3.0400
Xorazm,2015,4.3900,12800000.0,3.7500
Xorazm,2016,5.3100,15300000.0,4.5400
Xorazm,2017,6.5300,18900000.0,5.5800
Xorazm,2018,8.2200,22900000.0,7.0200
Xorazm,2019,9.5600,27500000.0,8.1700
Xorazm,2020,10.5700,30600000.0,9.0400
Xorazm,2021,13.0900,37800000.0,11.1900
Xorazm,2022,16.2400,46500000.0,13.8800
Xorazm,2023,20.1200,56800000.0,17.2000
Xorazm,2024,23.5800,67700000.0,20.1600
Qoraqalpog'iston,2010,1.5000,5120000.0,1.2800
Qoraqalpog'iston,2011,1.9800,6680000.0,1.6900
Qoraqalpog'iston,2012,2.4300,8210000.0,2.0800
Qoraqalpog'iston,2013,2.9000,10100000.0,2.4800
Qoraqalpog'iston,2014,3.3200,12300000.0,2.8400
Qoraqalpog'iston,2015,4.1000,15300000.0,3.5100
Qoraqalpog'iston,2016,4.9600,18300000.0,4.2400
Qoraqalpog'iston,2017,6.1100,22600000.0,5.2300
Qoraqalpog'iston,2018,6.1100,27400000.0,5.2300
Qoraqalpog'iston,2019,7.1200,32900000.0,6.0900
Qoraqalpog'iston,2020,7.8900,36500000.0,6.7500
Qoraqalpog'iston,2021,9.7700,45100000.0,8.3500
Qoraqalpog'iston,2022,8.9400,55500000.0,7.6500
Qoraqalpog'iston,2023,9.2100,67900000.0,7.8800
Qoraqalpog'iston,2024,9.8700,80900000.0,8.4500
